Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2020-02-06,05:59:00,3,200,170,15,8,7,103.98,15,120011502,11
2020-02-06,06:14:00,3,280,241,18,7,14,103.86,15,120011502,11
2020-02-06,06:29:00,3,356,312,19,9,16,103.13,15,120011502,11
2020-02-06,06:44:00,3,537,455,41,25,16,98.92,15,120011502,11
2020-02-06,06:59:00,3,772,690,53,18,11,91.57,15,120011502,11
2020-02-06,07:14:00,3,894,818,47,14,15,78.98,15,120011502,11
2020-02-06,07:29:00,3,805,715,57,19,14,48.26,15,120011502,11
2020-02-06,07:44:00,3,829,769,32,11,17,46.16,15,120011502,11
2020-02-06,07:59:00,3,849,765,44,24,16,74.63,15,120011502,11
2020-02-06,08:14:00,3,847,773,41,21,12,84.50,15,120011502,11
2020-02-06,08:29:00,3,808,733,34,28,13,86.90,15,120011502,11
2020-02-06,08:44:00,3,837,729,54,34,20,84.21,15,120011502,11
2020-02-06,08:59:00,3,681,601,30,35,15,91.94,15,120011502,11
2020-02-06,09:14:00,3,646,554,53,28,11,93.92,15,120011502,11
2020-02-06,09:29:00,3,714,599,50,38,27,90.95,15,120011502,11
2020-02-06,09:44:00,3,621,527,49,25,20,93.32,15,120011502,11
2020-02-06,09:59:00,3,605,509,52,26,18,93.55,15,120011502,11
2020-02-06,10:14:00,3,571,475,34,42,20,95.58,15,120011502,11
2020-02-06,10:29:00,3,589,491,40,38,20,93.27,15,120011502,11
2020-02-06,10:44:00,3,594,486,46,37,25,93.62,15,120011502,11
2020-02-06,10:59:00,3,558,462,36,39,21,96.53,15,120011502,11
2020-02-06,11:14:00,3,599,493,42,39,25,95.44,15,120011502,11
2020-02-06,11:29:00,3,545,445,45,35,20,97.10,15,120011502,11
2020-02-06,11:44:00,3,571,465,42,41,23,94.95,15,120011502,11
2020-02-06,11:59:00,3,580,475,49,28,28,96.04,15,120011502,11
